,ANO,COD_MUNICIPIO,MUNICIPIO,ACCESOS_FIJOS,POBLACION,INDICADOR_INTERNET,Acueducto,Alcantarillado,Energiaelectrica,Gasnatural,PERIODO,ESTU_COD_RESIDE_MCPIO,PUNT_LECTURA_CRITICA_MIN,PUNT_LECTURA_CRITICA_Q25,PUNT_LECTURA_CRITICA_MEAN,PUNT_LECTURA_CRITICA_MEDIAN,PUNT_LECTURA_CRITICA_Q75,PUNT_LECTURA_CRITICA_MAX,PUNT_LECTURA_CRITICA_STD,PUNT_MATEMATICAS_MIN,PUNT_MATEMATICAS_Q25,PUNT_MATEMATICAS_MEAN,PUNT_MATEMATICAS_MEDIAN,PUNT_MATEMATICAS_Q75,PUNT_MATEMATICAS_MAX,PUNT_MATEMATICAS_STD,PUNT_C_NATURALES_MIN,PUNT_C_NATURALES_Q25,PUNT_C_NATURALES_MEAN,PUNT_C_NATURALES_MEDIAN,PUNT_C_NATURALES_Q75,PUNT_C_NATURALES_MAX,PUNT_C_NATURALES_STD,PUNT_SOCIALES_CIUDADANAS_MIN,PUNT_SOCIALES_CIUDADANAS_Q25,PUNT_SOCIALES_CIUDADANAS_MEAN,PUNT_SOCIALES_CIUDADANAS_MEDIAN,PUNT_SOCIALES_CIUDADANAS_Q75,PUNT_SOCIALES_CIUDADANAS_MAX,PUNT_SOCIALES_CIUDADANAS_STD,PUNT_INGLES_MIN,PUNT_INGLES_Q25,PUNT_INGLES_MEAN,PUNT_INGLES_MEDIAN,PUNT_INGLES_Q75,PUNT_INGLES_MAX,PUNT_INGLES_STD,PUNT_GLOBAL_MIN,PUNT_GLOBAL_Q25,PUNT_GLOBAL_MEAN,PUNT_GLOBAL_MEDIAN,PUNT_GLOBAL_Q75,PUNT_GLOBAL_MAX,PUNT_GLOBAL_STD,INDICADOR_ACUEDUCTO,INDICADOR_ALCANTARILLADO,INDICADOR_ENERGIA_ELECTRICA,INDICADOR_GAS_NATURAL,KmDist
282,2019,25793,TAUSA,133,8354,0.0159,1518,478,2549,306,2019,25793,29,48.0,53.75,53.5,59.0,79,9.466839632716875,28,48.75,55.84375,56.0,63.0,81,11.326102246813031,33,45.75,52.145833333333336,53.0,59.25,79,9.571865755174784,22,40.75,49.208333333333336,49.0,58.0,76,12.065537409599964,31.0,43.75,49.5,49.0,55.0,85.0,9.401007784722925,152,230.25,262.46875,260.0,293.25,394,46.763898159291976,0.18170936078525257,0.05721809911419679,0.3051232942303088,0.03662915968398372,41.02246365
283,2020,25793,TAUSA,187,8654,0.0216,1518,483,2600,496,2020,25793,27,43.0,50.922330097087375,52.0,57.0,73,9.51437438866133,31,46.5,52.19417475728155,53.0,59.5,72,9.479656497072758,35,44.0,49.77669902912621,50.0,55.0,67,7.659329872436816,24,37.0,46.74757281553398,47.0,56.0,77,11.491444768807268,0.0,39.0,43.76699029126213,44.0,48.0,60.0,8.506288197096406,162,217.5,247.16504854368932,250.0,278.5,325,40.051216497002635,0.17541021492951236,0.05581234111393575,0.30043910330483015,0.057314536630459906,41.02246365
285,2019,25797,TENA,101,10065,0.01,1996,742,4227,1008,2019,25797,29,43.0,51.37837837837838,52.0,58.75,76,10.905198838988783,26,45.0,50.87837837837838,54.0,59.0,71,10.871544738699898,26,41.25,48.5945945945946,50.0,54.75,77,9.892461387296311,22,36.0,45.770270270270274,45.0,53.0,73,11.659022371780551,25.0,41.0,47.91891891891892,47.0,55.75,73.0,9.999666784526124,143,209.5,245.25675675675674,253.0,278.75,350,48.37328052540305,0.1983109786388475,0.07372081470442127,0.41997019374068556,0.10014903129657228,18.87597783
286,2020,25797,TENA,99,10531,0.0094,2072,777,4417,945,2020,25797,33,49.0,54.604651162790695,55.0,60.75,73,7.913174524383472,32,47.25,54.08139534883721,55.0,61.0,71,8.985236408921772,31,45.0,50.906976744186046,52.0,57.0,76,8.981848240268677,29,42.25,51.13953488372093,51.5,60.0,71,10.572063954200713,33.0,44.0,48.56976744186046,47.5,52.0,75.0,8.566062583274451,183,233.0,261.8720930232558,266.5,287.75,362,38.06644238128531,0.19675244516190296,0.07378216693571361,0.41942835438229986,0.08973506789478682,18.87597783
288,2019,25799,TENJO,2181,23052,0.0946,5637,,6166,2027,2019,25799,25,47.0,53.9622641509434,54.0,61.0,80,9.801751281660623,25,46.0,52.93962264150943,53.0,60.0,77,11.210289166225577,29,44.0,51.21509433962264,51.0,58.0,78,9.767125523656087,18,41.0,48.867924528301884,48.0,58.0,81,11.872488148773503,26.0,43.0,51.467924528301886,52.0,59.0,100.0,11.923680499784833,150,223.0,258.63396226415097,257.0,296.0,374,48.10490014492409,0.24453409682457053,,0.2674822141245879,0.0879316328301232,6.514457941
289,2020,25799,TENJO,3217,24096,0.1335,5776,2811,6454,2559,2020,25799,32,48.0,55.09090909090909,55.0,62.0,76,9.355094150315367,22,48.0,54.93073593073593,54.0,62.0,80,10.17859898424818,31,45.0,52.02164502164502,52.0,59.0,77,9.142088947588315,25,45.5,52.922077922077925,52.0,60.0,77,10.287306953674477,0.0,42.0,49.54112554112554,47.0,55.0,100.0,11.88154566642326,148,237.5,267.1212121212121,263.0,295.0,378,43.3658153318249,0.23970783532536521,0.11665836653386454,0.2678452855245684,0.10620019920318725,6.514457941
291,2019,25805,TIBACUY,44,4477,0.0098,313,211,1683,443,2019,25805,38,52.0,55.59183673469388,56.0,60.0,71,7.032420065154606,32,49.0,55.30612244897959,55.0,65.0,76,10.283895341812874,32,43.0,48.61224489795919,49.0,54.0,65,8.378584622244311,31,40.0,48.69387755102041,47.0,55.0,68,9.412323662873789,22.0,40.0,46.6530612244898,48.0,54.0,67.0,10.009476802028171,183,230.0,258.14285714285717,252.0,291.0,332,36.89173349139343,0.06991288809470628,0.04712977440250168,0.3759213759213759,0.09895018985928077,27.33889661
292,2020,25805,TIBACUY,68,4639,0.0147,320,216,1736,413,2020,25805,38,48.5,52.56410256410256,52.0,56.5,70,7.021751437665796,28,51.0,53.94871794871795,54.0,59.0,75,7.577489925842746,0,42.0,45.97435897435897,48.0,49.0,68,10.798360449348877,0,39.0,46.92307692307692,46.0,56.0,67,12.728717253320534,0.0,38.5,41.94871794871795,42.0,46.5,59.0,9.3834925546737,121,234.0,246.25641025641025,247.0,265.5,336,36.582076391183946,0.06898038370338436,0.04656175899978444,0.3742185815908601,0.08902780771718043,27.33889661
294,2019,25807,TIBIRITA,71,3207,0.0221,362,254,1520,243,2019,25807,33,39.25,47.69230769230769,45.0,53.75,70,10.426002995469474,28,38.25,49.19230769230769,48.5,57.0,71,12.664972896202283,30,40.0,46.26923076923077,44.5,53.5,66,9.145743019821593,27,35.25,43.03846153846154,39.5,51.25,69,11.198145450853078,30.0,38.25,42.73076923076923,41.0,46.75,69.0,8.78889159021861,154,190.25,231.30769230769232,224.0,261.0,342,48.80636780648134,0.11287807920174618,0.07920174618023075,0.47396320548799503,0.07577174929840973,61.81769963
295,2020,25807,TIBIRITA,106,3285,0.0323,432,258,1555,242,2020,25807,29,48.0,53.48275862068966,56.0,61.0,67,9.912548647530322,27,47.0,52.793103448275865,55.0,59.0,79,11.505834887273584,33,42.0,49.41379310344828,50.0,56.0,69,9.420787203153122,27,38.0,49.758620689655174,54.0,60.0,68,12.883142840864881,31.0,40.0,45.48275862068966,44.0,49.0,60.0,6.874490576737681,173,220.0,254.51724137931035,259.0,291.0,332,44.47521034211496,0.13150684931506848,0.07853881278538813,0.4733637747336377,0.07366818873668189,61.81769963
